pt,int,hz,ppm
183,4676170,7735.43,102.456
184,4675630,7736.89,102.475
185,4675090,7738.36,102.495
186,4674620,7739.83,102.514
187,4674520,7741.3,102.534
188,4674420,7742.77,102.553
189,4674320,7744.24,102.573
190,4674220,7745.7,102.592
191,4674120,7747.17,102.612
192,4674030,7748.64,102.631
193,4673930,7750.11,102.65
194,4673830,7751.58,102.67
195,4673730,7753.04,102.689
196,4673630,7754.51,102.709
197,4673530,7755.98,102.728
198,4673430,7757.45,102.748
199,4673330,7758.92,102.767
200,4673230,7760.38,102.787
201,4673130,7761.85,102.806
202,4673030,7763.32,102.825
203,4672930,7764.79,102.845
204,4672830,7766.26,102.864
205,4672730,7767.73,102.884
206,4672630,7769.19,102.903
207,4672530,7770.66,102.923
208,4672430,7772.13,102.942
209,4672330,7773.6,102.962
210,4672260,7775.07,102.981
211,4672190,7776.53,103
212,4672120,7778,103.02
213,4672040,7779.47,103.039
214,4671970,7780.94,103.059
215,4671900,7782.41,103.078
216,4671820,7783.88,103.098
217,4671750,7785.34,103.117
218,4671680,7786.81,103.137
219,4671600,7788.28,103.156
220,4671530,7789.75,103.175
221,4671460,7791.22,103.195
222,4671380,7792.68,103.214
223,4671310,7794.15,103.234
224,4671240,7795.62,103.253
225,4671170,7797.09,103.273
226,4671090,7798.56,103.292
227,4671020,7800.02,103.312
228,4670950,7801.49,103.331
229,4670870,7802.96,103.35
230,4670800,7804.43,103.37
231,4670730,7805.9,103.389
232,4670650,7807.37,103.409
233,4670640,7808.83,103.428
234,4670630,7810.3,103.448
235,4670620,7811.77,103.467
236,4670610,7813.24,103.487
237,4670600,7814.71,103.506
238,4670590,7816.17,103.525
239,4670570,7817.64,103.545
240,4670560,7819.11,103.564
241,4670550,7820.58,103.584
242,4670540,7822.05,103.603
243,4670530,7823.51,103.623
244,4670520,7824.98,103.642
245,4670510,7826.45,103.662
246,4670500,7827.92,103.681
247,4670490,7829.39,103.7
248,4670480,7830.86,103.72
249,4670470,7832.32,103.739
250,4670460,7833.79,103.759
251,4670440,7835.26,103.778
252,4670430,7836.73,103.798
253,4670420,7838.2,103.817
254,4670410,7839.66,103.837
255,4670400,7841.13,103.856
256,4670400,7842.6,103.876
257,4670390,7844.07,103.895
258,4670390,7845.54,103.914
259,4670380,7847,103.934
260,4670370,7848.47,103.953
261,4670370,7849.94,103.973
262,4670360,7851.41,103.992
263,4670360,7852.88,104.012
264,4670350,7854.35,104.031
265,4670350,7855.81,104.051
266,4670340,7857.28,104.07
267,4670340,7858.75,104.089
268,4670330,7860.22,104.109
269,4670330,7861.69,104.128
270,4670320,7863.15,104.148
271,4670320,7864.62,104.167
272,4670310,7866.09,104.187
273,4670310,7867.56,104.206
274,4670300,7869.03,104.226
275,4670300,7870.5,104.245
276,4670290,7871.96,104.264
277,4670290,7873.43,104.284
278,4670280,7874.9,104.303
279,4670270,7876.37,104.323
280,4670250,7877.84,104.342
281,4670240,7879.3,104.362
282,4670220,7880.77,104.381
283,4670210,7882.24,104.401
284,4670190,7883.71,104.42
285,4670180,7885.18,104.439
286,4670160,7886.64,104.459
287,4670150,7888.11,104.478
288,4670130,7889.58,104.498
289,4670120,7891.05,104.517
290,4670100,7892.52,104.537
291,4670090,7893.99,104.556
292,4670070,7895.45,104.576
293,4670060,7896.92,104.595
294,4670040,7898.39,104.614
295,4670030,7899.86,104.634
296,4670010,7901.33,104.653
297,4670000,7902.79,104.673
298,4669980,7904.26,104.692
299,4669970,7905.73,104.712
300,4669950,7907.2,104.731
301,4669940,7908.67,104.751
302,4669920,7910.13,104.77
303,4669910,7911.6,104.789
304,4669900,7913.07,104.809
305,4669890,7914.54,104.828
306,4669880,7916.01,104.848
307,4669870,7917.48,104.867
308,4669860,7918.94,104.887
309,4669850,7920.41,104.906
310,4669840,7921.88,104.926
311,4669830,7923.35,104.945
312,4669820,7924.82,104.964
313,4669810,7926.28,104.984
314,4669800,7927.75,105.003
315,4669790,7929.22,105.023
316,4669780,7930.69,105.042
317,4669770,7932.16,105.062
318,4669760,7933.62,105.081
319,4669750,7935.09,105.101
320,4669740,7936.56,105.12
321,4669730,7938.03,105.139
322,4669720,7939.5,105.159
323,4669710,7940.97,105.178
324,4669690,7942.43,105.198
325,4669690,7943.9,105.217
326,4669680,7945.37,105.237
327,4669680,7946.84,105.256
328,4669670,7948.31,105.276
329,4669670,7949.77,105.295
330,4669660,7951.24,105.314
331,4669660,7952.71,105.334
332,4669650,7954.18,105.353
333,4669650,7955.65,105.373
334,4669640,7957.12,105.392
335,4669640,7958.58,105.412
336,4669640,7960.05,105.431
337,4669630,7961.52,105.451
338,4669630,7962.99,105.47
339,4669620,7964.46,105.489
340,4669620,7965.92,105.509
341,4669610,7967.39,105.528
342,4669610,7968.86,105.548
343,4669600,7970.33,105.567
344,4669600,7971.8,105.587
345,4669590,7973.26,105.606
346,4669590,7974.73,105.626
347,4669580,7976.2,105.645
348,4669570,7977.67,105.664
349,4669550,7979.14,105.684
350,4669530,7980.61,105.703
351,4669510,7982.07,105.723
352,4669500,7983.54,105.742
353,4669480,7985.01,105.762
354,4669460,7986.48,105.781
355,4669440,7987.95,105.801
356,4669420,7989.41,105.82
357,4669400,7990.88,105.839
358,4669380,7992.35,105.859
359,4669360,7993.82,105.878
360,4669340,7995.29,105.898
361,4669320,7996.75,105.917
362,4669310,7998.22,105.937
363,4669290,7999.69,105.956
364,4669270,8001.16,105.976
365,4669250,8002.63,105.995
366,4669230,8004.1,106.015
367,4669210,8005.56,106.034
368,4669190,8007.03,106.053
369,4669170,8008.5,106.073
370,4669150,8009.97,106.092
371,4669110,8011.44,106.112
372,4669020,8012.9,106.131
373,4668930,8014.37,106.151
374,4668830,8015.84,106.17
375,4668740,8017.31,106.19
376,4668640,8018.78,106.209
377,4668550,8020.24,106.228
378,4668460,8021.71,106.248
379,4668360,8023.18,106.267
380,4668270,8024.65,106.287
381,4668180,8026.12,106.306
382,4668080,8027.59,106.326
383,4667990,8029.05,106.345
384,4667900,8030.52,106.365
385,4667800,8031.99,106.384
386,4667710,8033.46,106.403
387,4667620,8034.93,106.423
388,4667520,8036.39,106.442
389,4667430,8037.86,106.462
390,4667340,8039.33,106.481
391,4667240,8040.8,106.501
392,4667150,8042.27,106.52
393,4667050,8043.74,106.54
394,4666860,8045.2,106.559
395,4666270,8046.67,106.578
396,4665670,8048.14,106.598
397,4665080,8049.61,106.617
398,4664490,8051.08,106.637
399,4663900,8052.54,106.656
400,4663300,8054.01,106.676
401,4662710,8055.48,106.695
402,4662120,8056.95,106.715
403,4661530,8058.42,106.734
404,4660930,8059.88,106.753
405,4660340,8061.35,106.773
406,4659750,8062.82,106.792
407,4659160,8064.29,106.812
408,4658560,8065.76,106.831
409,4657970,8067.23,106.851
410,4657380,8068.69,106.87
411,4656790,8070.16,106.89
412,4656190,8071.63,106.909
413,4655600,8073.1,106.928
414,4655010,8074.57,106.948
415,4654420,8076.03,106.967
416,4653820,8077.5,106.987
417,4653220,8078.97,107.006
418,4652530,8080.44,107.026
419,4651840,8081.91,107.045
420,4651160,8083.37,107.065
421,4650470,8084.84,107.084
422,4649780,8086.31,107.103
423,4649090,8087.78,107.123
424,4648400,8089.25,107.142
425,4647720,8090.72,107.162
426,4647030,8092.18,107.181
427,4646340,8093.65,107.201
428,4645650,8095.12,107.22
429,4644960,8096.59,107.24
430,4644270,8098.06,107.259
431,4643590,8099.52,107.278
432,4642900,8100.99,107.298
433,4642210,8102.46,107.317
434,4641520,8103.93,107.337
435,4640830,8105.4,107.356
