pt,int,hz,ppm
1797,5828300,10105,133.841
1798,5829210,10106.5,133.86
1799,5830110,10107.9,133.88
1800,5831010,10109.4,133.899
1801,5831920,10110.9,133.919
1802,5832820,10112.3,133.938
1803,5833720,10113.8,133.958
1804,5834630,10115.3,133.977
1805,5835530,10116.7,133.997
1806,5836430,10118.2,134.016
1807,5837340,10119.7,134.035
1808,5838240,10121.1,134.055
1809,5839140,10122.6,134.074
1810,5840050,10124.1,134.094
1811,5840950,10125.6,134.113
1812,5841850,10127,134.133
1813,5842760,10128.5,134.152
1814,5843660,10130,134.172
1815,5844580,10131.4,134.191
1816,5845630,10132.9,134.21
1817,5846680,10134.4,134.23
1818,5847730,10135.8,134.249
1819,5848780,10137.3,134.269
1820,5849840,10138.8,134.288
1821,5850890,10140.2,134.308
1822,5851940,10141.7,134.327
1823,5852990,10143.2,134.347
1824,5854040,10144.6,134.366
1825,5855090,10146.1,134.385
1826,5856140,10147.6,134.405
1827,5857190,10149,134.424
1828,5858240,10150.5,134.444
1829,5859300,10152,134.463
1830,5860350,10153.4,134.483
1831,5861400,10154.9,134.502
1832,5862450,10156.4,134.522
1833,5863500,10157.8,134.541
1834,5864550,10159.3,134.561
1835,5865600,10160.8,134.58
1836,5866650,10162.3,134.599
1837,5867700,10163.7,134.619
1838,5868840,10165.2,134.638
1839,5875570,10166.7,134.658
1840,5882290,10168.1,134.677
1841,5889020,10169.6,134.697
1842,5895750,10171.1,134.716
1843,5902470,10172.5,134.736
1844,5909200,10174,134.755
1845,5915930,10175.5,134.774
1846,5922650,10176.9,134.794
1847,5929380,10178.4,134.813
1848,5936110,10179.9,134.833
1849,5942830,10181.3,134.852
1850,5949560,10182.8,134.872
1851,5956290,10184.3,134.891
1852,5963010,10185.7,134.911
1853,5969740,10187.2,134.93
1854,5976470,10188.7,134.949
1855,5983200,10190.1,134.969
1856,5989920,10191.6,134.988
1857,5996650,10193.1,135.008
1858,6003380,10194.6,135.027
1859,6010100,10196,135.047
1860,6016830,10197.5,135.066
1861,6023560,10199,135.086
1862,6027080,10200.4,135.105
1863,6030150,10201.9,135.124
1864,6033210,10203.4,135.144
1865,6036270,10204.8,135.163
1866,6039330,10206.3,135.183
1867,6042390,10207.8,135.202
1868,6045450,10209.2,135.222
1869,6048520,10210.7,135.241
1870,6051580,10212.2,135.261
1871,6054640,10213.6,135.28
1872,6057700,10215.1,135.299
1873,6060760,10216.6,135.319
1874,6063830,10218,135.338
1875,6066890,10219.5,135.358
1876,6069950,10221,135.377
1877,6073010,10222.4,135.397
1878,6076070,10223.9,135.416
1879,6079140,10225.4,135.436
1880,6082200,10226.9,135.455
1881,6085260,10228.3,135.474
1882,6088320,10229.8,135.494
1883,6091380,10231.3,135.513
1884,6094450,10232.7,135.533
1885,6102230,10234.2,135.552
1886,6111330,10235.7,135.572
1887,6120430,10237.1,135.591
1888,6129530,10238.6,135.611
1889,6138630,10240.1,135.63
1890,6147730,10241.5,135.649
1891,6156830,10243,135.669
1892,6165930,10244.5,135.688
1893,6175030,10245.9,135.708
1894,6184130,10247.4,135.727
1895,6193230,10248.9,135.747
1896,6202330,10250.3,135.766
1897,6211430,10251.8,135.786
1898,6220530,10253.3,135.805
1899,6229630,10254.7,135.824
1900,6238730,10256.2,135.844
1901,6247830,10257.7,135.863
1902,6256930,10259.2,135.883
1903,6266030,10260.6,135.902
1904,6275130,10262.1,135.922
1905,6284230,10263.6,135.941
1906,6293330,10265,135.961
1907,6302430,10266.5,135.98
1908,6307530,10268,135.999
1909,6310390,10269.4,136.019
1910,6313250,10270.9,136.038
1911,6316120,10272.4,136.058
1912,6318980,10273.8,136.077
1913,6321840,10275.3,136.097
1914,6324710,10276.8,136.116
1915,6327570,10278.2,136.136
1916,6330430,10279.7,136.155
1917,6333300,10281.2,136.174
1918,6336160,10282.6,136.194
1919,6339030,10284.1,136.213
1920,6341890,10285.6,136.233
1921,6344750,10287,136.252
1922,6347620,10288.5,136.272
1923,6350480,10290,136.291
1924,6353340,10291.5,136.311
1925,6356210,10292.9,136.33
1926,6359070,10294.4,136.349
1927,6361930,10295.9,136.369
1928,6364800,10297.3,136.388
1929,6367660,10298.8,136.408
1930,6370520,10300.3,136.427
1931,6379000,10301.7,136.447
1932,6392050,10303.2,136.466
1933,6405090,10304.7,136.486
1934,6418140,10306.1,136.505
1935,6431190,10307.6,136.524
1936,6444240,10309.1,136.544
1937,6457280,10310.5,136.563
1938,6470330,10312,136.583
1939,6483380,10313.5,136.602
1940,6496420,10314.9,136.622
1941,6509470,10316.4,136.641
1942,6522520,10317.9,136.661
1943,6535570,10319.3,136.68
1944,6548610,10320.8,136.7
1945,6561660,10322.3,136.719
1946,6574710,10323.7,136.738
1947,6587750,10325.2,136.758
1948,6600800,10326.7,136.777
1949,6613850,10328.2,136.797
1950,6626900,10329.6,136.816
1951,6639940,10331.1,136.836
1952,6652990,10332.6,136.855
1953,6666040,10334,136.875
1954,6677550,10335.5,136.894
1955,6686840,10337,136.913
1956,6696140,10338.4,136.933
1957,6705440,10339.9,136.952
1958,6714730,10341.4,136.972
1959,6724030,10342.8,136.991
1960,6733330,10344.3,137.011
1961,6742620,10345.8,137.03
1962,6751920,10347.2,137.05
1963,6761220,10348.7,137.069
1964,6770510,10350.2,137.088
1965,6779810,10351.6,137.108
1966,6789110,10353.1,137.127
1967,6798400,10354.6,137.147
1968,6807700,10356,137.166
1969,6817000,10357.5,137.186
1970,6826290,10359,137.205
1971,6835590,10360.5,137.225
1972,6844890,10361.9,137.244
1973,6854180,10363.4,137.263
1974,6863480,10364.9,137.283
1975,6872500,10366.3,137.302
1976,6880550,10367.8,137.322
1977,6888600,10369.3,137.341
1978,6896650,10370.7,137.361
1979,6904700,10372.2,137.38
1980,6912750,10373.7,137.4
1981,6920800,10375.1,137.419
1982,6928850,10376.6,137.438
1983,6936900,10378.1,137.458
1984,6944950,10379.5,137.477
1985,6953000,10381,137.497
1986,6961050,10382.5,137.516
1987,6969110,10383.9,137.536
1988,6977160,10385.4,137.555
1989,6994360,10386.9,137.575
1990,7014630,10388.3,137.594
1991,7034910,10389.8,137.613
1992,7055180,10391.3,137.633
1993,7075460,10392.8,137.652
1994,7095730,10394.2,137.672
1995,7116010,10395.7,137.691
1996,7136280,10397.2,137.711
1997,7156560,10398.6,137.73
1998,7176830,10400.1,137.75
1999,7197110,10401.6,137.769
2000,7217850,10403,137.788
2001,7240760,10404.5,137.808
2002,7263660,10406,137.827
2003,7286570,10407.4,137.847
2004,7309470,10408.9,137.866
2005,7332380,10410.4,137.886
2006,7355280,10411.8,137.905
2007,7378190,10413.3,137.925
2008,7401090,10414.8,137.944
2009,7424000,10416.2,137.963
2010,7446900,10417.7,137.983
2011,7469810,10419.2,138.002
2012,7493160,10420.6,138.022
2013,7516800,10422.1,138.041
2014,7540440,10423.6,138.061
2015,7564090,10425.1,138.08
2016,7587730,10426.5,138.1
2017,7611370,10428,138.119
2018,7635010,10429.5,138.138
2019,7658660,10430.9,138.158
2020,7682300,10432.4,138.177
2021,7705940,10433.9,138.197
2022,7729580,10435.3,138.216
2023,7753180,10436.8,138.236
2024,7775510,10438.3,138.255
2025,7797850,10439.7,138.275
2026,7820180,10441.2,138.294
2027,7842520,10442.7,138.313
2028,7864850,10444.1,138.333
2029,7887190,10445.6,138.352
2030,7909520,10447.1,138.372
2031,7931850,10448.5,138.391
2032,7954190,10450,138.411
2033,7976520,10451.5,138.43
2034,7998860,10452.9,138.45
2035,8022620,10454.4,138.469
2036,8047710,10455.9,138.488
2037,8072800,10457.3,138.508
2038,8097890,10458.8,138.527
2039,8122980,10460.3,138.547
2040,8148070,10461.8,138.566
2041,8173160,10463.2,138.586
2042,8198250,10464.7,138.605
2043,8223340,10466.2,138.625
2044,8248430,10467.6,138.644
2045,8273510,10469.1,138.664
2046,8298600,10470.6,138.683
2047,8327660,10472,138.702
2048,8357170,10473.5,138.722
2049,8386690,10475,138.741
2050,8416210,10476.4,138.761
2051,8445730,10477.9,138.78
2052,8475240,10479.4,138.8
2053,8504760,10480.8,138.819
2054,8534280,10482.3,138.839
2055,8563790,10483.8,138.858
2056,8593310,10485.2,138.877
2057,8622830,10486.7,138.897
2058,8652510,10488.2,138.916
2059,8682520,10489.6,138.936
2060,8712540,10491.1,138.955
2061,8742550,10492.6,138.975
2062,8772570,10494.1,138.994
2063,8802580,10495.5,139.014
2064,8832590,10497,139.033
2065,8862610,10498.5,139.052
2066,8892620,10499.9,139.072
2067,8922640,10501.4,139.091
2068,8952650,10502.9,139.111
2069,8982670,10504.3,139.13
2070,9011540,10505.8,139.15
2071,9040050,10507.3,139.169
2072,9068560,10508.7,139.189
2073,9097060,10510.2,139.208
2074,9125570,10511.7,139.227
2075,9154070,10513.1,139.247
2076,9182580,10514.6,139.266
2077,9211080,10516.1,139.286
2078,9239590,10517.5,139.305
2079,9268100,10519,139.325
2080,9296600,10520.5,139.344
2081,9323310,10521.9,139.364
2082,9338110,10523.4,139.383
2083,9352900,10524.9,139.402
2084,9367700,10526.4,139.422
2085,9382490,10527.8,139.441
2086,9397290,10529.3,139.461
2087,9412080,10530.8,139.48
2088,9426870,10532.2,139.5
2089,9441670,10533.7,139.519
2090,9456460,10535.2,139.539
2091,9471260,10536.6,139.558
2092,9486050,10538.1,139.577
2093,9548590,10539.6,139.597
2094,9641480,10541,139.616
2095,9734370,10542.5,139.636
2096,9827260,10544,139.655
2097,9920150,10545.4,139.675
2098,10013000,10546.9,139.694
2099,10069500,10548.4,139.714
2100,10116900,10549.8,139.733
2101,10164300,10551.3,139.752
2102,10211700,10552.8,139.772
2103,10259100,10554.2,139.791
2104,10305200,10555.7,139.811
2105,10320300,10557.2,139.83
2106,10335400,10558.7,139.85
2107,10350600,10560.1,139.869
2108,10365700,10561.6,139.889
2109,10380800,10563.1,139.908
2110,10396600,10564.5,139.927
2111,10415900,10566,139.947
2112,10435100,10567.5,139.966
2113,10454300,10568.9,139.986
2114,10473600,10570.4,140.005
2115,10492800,10571.9,140.025
2116,10516400,10573.3,140.044
2117,10544900,10574.8,140.064
2118,10573400,10576.3,140.083
2119,10601900,10577.7,140.102
2120,10630400,10579.2,140.122
2121,10659000,10580.7,140.141
2122,10687500,10582.1,140.161
2123,10716000,10583.6,140.18
2124,10744500,10585.1,140.2
2125,10773000,10586.5,140.219
2126,10801500,10588,140.239
2127,10830000,10589.5,140.258
2128,10808900,10590.9,140.277
2129,10782200,10592.4,140.297
2130,10755600,10593.9,140.316
2131,10728900,10595.4,140.336
2132,10702200,10596.8,140.355
2133,10690900,10598.3,140.375
2134,10838800,10599.8,140.394
2135,10986600,10601.2,140.414
2136,11134500,10602.7,140.433
2137,11282400,10604.2,140.452
2138,11430200,10605.6,140.472
2139,11547800,10607.1,140.491
2140,11561200,10608.6,140.511
2141,11574500,10610,140.53
2142,11587900,10611.5,140.55
2143,11601300,10613,140.569
2144,11614700,10614.4,140.589
2145,11628000,10615.9,140.608
2146,11641400,10617.4,140.627
2147,11654800,10618.8,140.647
2148,11668100,10620.3,140.666
2149,11681500,10621.8,140.686
2150,11694900,10623.2,140.705
2151,11756900,10624.7,140.725
2152,11839200,10626.2,140.744
2153,11921500,10627.7,140.764
2154,12003800,10629.1,140.783
2155,12086100,10630.6,140.803
2156,12168300,10632.1,140.822
2157,12217800,10633.5,140.841
2158,12263300,10635,140.861
2159,12308900,10636.5,140.88
2160,12354400,10637.9,140.9
2161,12400000,10639.4,140.919
2162,12443900,10640.9,140.939
2163,12470300,10642.3,140.958
2164,12496700,10643.8,140.978
2165,12523100,10645.3,140.997
2166,12549500,10646.7,141.016
2167,12575900,10648.2,141.036
2168,12602300,10649.7,141.055
2169,12628700,10651.1,141.075
2170,12655100,10652.6,141.094
2171,12681500,10654.1,141.114
2172,12707900,10655.5,141.133
2173,12734300,10657,141.153
2174,12757600,10658.5,141.172
2175,12778600,10660,141.191
2176,12799600,10661.4,141.211
2177,12820500,10662.9,141.23
2178,12841500,10664.4,141.25
2179,12862400,10665.8,141.269
2180,12879600,10667.3,141.289
2181,12895100,10668.8,141.308
2182,12910600,10670.2,141.328
2183,12926100,10671.7,141.347
2184,12941700,10673.2,141.366
2185,12957200,10674.6,141.386
2186,12972700,10676.1,141.405
2187,12988200,10677.6,141.425
2188,13003700,10679,141.444
2189,13019200,10680.5,141.464
2190,13034700,10682,141.483
2191,13050300,10683.4,141.503
2192,13065800,10684.9,141.522
2193,13081300,10686.4,141.541
2194,13096800,10687.8,141.561
2195,13112300,10689.3,141.58
2196,13127800,10690.8,141.6
2197,13141900,10692.3,141.619
2198,13153900,10693.7,141.639
2199,13165900,10695.2,141.658
2200,13177900,10696.7,141.678
2201,13189900,10698.1,141.697
2202,13201900,10699.6,141.716
2203,13214000,10701.1,141.736
2204,13226000,10702.5,141.755
2205,13238000,10704,141.775
2206,13250000,10705.5,141.794
2207,13262000,10706.9,141.814
2208,13274000,10708.4,141.833
2209,13286000,10709.9,141.853
2210,13298000,10711.3,141.872
2211,13310100,10712.8,141.891
2212,13322100,10714.3,141.911
2213,13334100,10715.7,141.93
2214,13346100,10717.2,141.95
2215,13358100,10718.7,141.969
2216,13370100,10720.1,141.989
2217,13382100,10721.6,142.008
2218,13394200,10723.1,142.028
2219,13406200,10724.6,142.047
2220,13415100,10726,142.066
2221,13416400,10727.5,142.086
2222,13417600,10729,142.105
2223,13418800,10730.4,142.125
2224,13420000,10731.9,142.144
2225,13421200,10733.4,142.164
2226,13422400,10734.8,142.183
2227,13423700,10736.3,142.203
2228,13424900,10737.8,142.222
2229,13426100,10739.2,142.241
2230,13427300,10740.7,142.261
2231,13428500,10742.2,142.28
2232,13429700,10743.6,142.3
2233,13431000,10745.1,142.319
2234,13432200,10746.6,142.339
2235,13433400,10748,142.358
2236,13434600,10749.5,142.378
2237,13435800,10751,142.397
2238,13437000,10752.4,142.416
2239,13438300,10753.9,142.436
2240,13439500,10755.4,142.455
2241,13440700,10756.8,142.475
2242,13441900,10758.3,142.494
2243,13441000,10759.8,142.514
2244,13431100,10761.3,142.533
2245,13421100,10762.7,142.553
2246,13411200,10764.2,142.572
2247,13401300,10765.7,142.591
2248,13391400,10767.1,142.611
2249,13381400,10768.6,142.63
2250,13371500,10770.1,142.65
2251,13361600,10771.5,142.669
2252,13351600,10773,142.689
2253,13341700,10774.5,142.708
2254,13331800,10775.9,142.728
2255,13321800,10777.4,142.747
2256,13311900,10778.9,142.767
2257,13302000,10780.3,142.786
2258,13292100,10781.8,142.805
2259,13282100,10783.3,142.825
2260,13272200,10784.7,142.844
2261,13262300,10786.2,142.864
2262,13252300,10787.7,142.883
2263,13242400,10789.1,142.903
2264,13232500,10790.6,142.922
2265,13252500,10792.1,142.942
2266,13274000,10793.6,142.961
2267,13295500,10795,142.98
2268,13317100,10796.5,143
2269,13338600,10798,143.019
2270,13360100,10799.4,143.039
2271,13381600,10800.9,143.058
2272,13392100,10802.4,143.078
2273,13375500,10803.8,143.097
2274,13358800,10805.3,143.117
2275,13342200,10806.8,143.136
2276,13325600,10808.2,143.155
2277,13308900,10809.7,143.175
2278,13292300,10811.2,143.194
2279,13275700,10812.6,143.214
2280,13259100,10814.1,143.233
2281,13242400,10815.6,143.253
2282,13225800,10817,143.272
2283,13209200,10818.5,143.292
2284,13192600,10820,143.311
2285,13175900,10821.4,143.33
2286,13159300,10822.9,143.35
2287,13142700,10824.4,143.369
2288,13126100,10825.9,143.389
2289,13109200,10827.3,143.408
2290,13074100,10828.8,143.428
2291,13038900,10830.3,143.447
2292,13003800,10831.7,143.467
2293,12968600,10833.2,143.486
2294,12933500,10834.7,143.505
2295,12898300,10836.1,143.525
2296,12863200,10837.6,143.544
2297,12828000,10839.1,143.564
2298,12792900,10840.5,143.583
2299,12757700,10842,143.603
2300,12722600,10843.5,143.622
2301,12692800,10844.9,143.642
2302,12669800,10846.4,143.661
2303,12646800,10847.9,143.68
2304,12623800,10849.3,143.7
2305,12600800,10850.8,143.719
2306,12577800,10852.3,143.739
2307,12554800,10853.7,143.758
2308,12531700,10855.2,143.778
2309,12508700,10856.7,143.797
2310,12485700,10858.2,143.817
2311,12462700,10859.6,143.836
2312,12439700,10861.1,143.855
2313,12408500,10862.6,143.875
2314,12376500,10864,143.894
2315,12344600,10865.5,143.914
2316,12312700,10867,143.933
2317,12280700,10868.4,143.953
2318,12248800,10869.9,143.972
2319,12216800,10871.4,143.992
2320,12184900,10872.8,144.011
2321,12152900,10874.3,144.03
2322,12121000,10875.8,144.05
2323,12089000,10877.2,144.069
2324,11961300,10878.7,144.089
2325,11929400,10880.2,144.108
2326,11897400,10881.6,144.128
2327,11865500,10883.1,144.147
2328,11833600,10884.6,144.167
2329,11801600,10886,144.186
2330,11769700,10887.5,144.205
2331,11737700,10889,144.225
2332,11705800,10890.4,144.244
2333,11673900,10891.9,144.264
2334,11641900,10893.4,144.283
2335,11610000,10894.9,144.303
2336,11627400,10896.3,144.322
2337,11651500,10897.8,144.342
2338,11675600,10899.3,144.361
2339,11699700,10900.7,144.38
2340,11723800,10902.2,144.4
2341,11737800,10903.7,144.419
2342,11679300,10905.1,144.439
2343,11620900,10906.6,144.458
2344,11562400,10908.1,144.478
2345,11504000,10909.5,144.497
2346,11445500,10911,144.517
2347,11387100,10912.5,144.536
2348,11328600,10913.9,144.555
2349,11270200,10915.4,144.575
2350,11211700,10916.9,144.594
2351,11153300,10918.3,144.614
2352,11094900,10919.8,144.633
2353,11036400,10921.3,144.653
2354,10978000,10922.7,144.672
2355,10919500,10924.2,144.692
2356,10861100,10925.7,144.711
2357,10866900,10927.2,144.731
2358,10894700,10928.6,144.75
2359,10922500,10930.1,144.769
2360,10950300,10931.6,144.789
2361,10978000,10933,144.808
2362,11005800,10934.5,144.828
2363,11033600,10936,144.847
2364,11056400,10937.4,144.867
2365,10926300,10938.9,144.886
2366,10796300,10940.4,144.906
2367,10666200,10941.8,144.925
2368,10536200,10943.3,144.944
2369,10406100,10944.8,144.964
2370,10308800,10946.2,144.983
2371,10326800,10947.7,145.003
2372,10344800,10949.2,145.022
2373,10362700,10950.6,145.042
2374,10380700,10952.1,145.061
2375,10398700,10953.6,145.081
2376,10385600,10955,145.1
2377,10342700,10956.5,145.119
2378,10299900,10958,145.139
2379,10257100,10959.5,145.158
2380,10214300,10960.9,145.178
2381,10171500,10962.4,145.197
2382,10128600,10963.9,145.217
2383,10085800,10965.3,145.236
2384,10043000,10966.8,145.256
2385,10000200,10968.3,145.275
2386,9957340,10969.7,145.294
2387,9914520,10971.2,145.314
2388,9871700,10972.7,145.333
2389,9828880,10974.1,145.353
2390,9786060,10975.6,145.372
2391,9773420,10977.1,145.392
2392,9952290,10978.5,145.411
2393,10075300,10980,145.431
2394,10015000,10981.5,145.45
2395,9954700,10982.9,145.469
2396,9894390,10984.4,145.489
2397,9834070,10985.9,145.508
2398,9773760,10987.3,145.528
2399,9713450,10988.8,145.547
2400,9653140,10990.3,145.567
2401,9592830,10991.8,145.586
2402,9532510,10993.2,145.606
2403,9472200,10994.7,145.625
2404,9411890,10996.2,145.644
2405,9374440,10997.6,145.664
2406,9348640,10999.1,145.683
2407,9322840,11000.6,145.703
2408,9297040,11002,145.722
2409,9271240,11003.5,145.742
2410,9245440,11005,145.761
2411,9219640,11006.4,145.781
2412,9193840,11007.9,145.8
2413,9168040,11009.4,145.819
2414,9142240,11010.8,145.839
2415,9116440,11012.3,145.858
2416,9090830,11013.8,145.878
2417,9066430,11015.2,145.897
2418,9042020,11016.7,145.917
2419,9017610,11018.2,145.936
2420,8993210,11019.6,145.956
2421,8968800,11021.1,145.975
2422,8944390,11022.6,145.994
2423,8919990,11024,146.014
2424,8895580,11025.5,146.033
2425,8871170,11027,146.053
2426,8846770,11028.5,146.072
2427,8822360,11029.9,146.092
2428,8792790,11031.4,146.111
2429,8760090,11032.9,146.131
2430,8727400,11034.3,146.15
2431,8694710,11035.8,146.169
2432,8662020,11037.3,146.189
2433,8629330,11038.7,146.208
2434,8596640,11040.2,146.228
2435,8563950,11041.7,146.247
2436,8531250,11043.1,146.267
2437,8498620,11044.6,146.286
2438,8474040,11046.1,146.306
2439,8449460,11047.5,146.325
2440,8424880,11049,146.344
2441,8400300,11050.5,146.364
2442,8375720,11051.9,146.383
2443,8351140,11053.4,146.403
2444,8326560,11054.9,146.422
2445,8301980,11056.3,146.442
2446,8277400,11057.8,146.461
2447,8252810,11059.3,146.481
2448,8228230,11060.8,146.5
2449,8203650,11062.2,146.519
2450,8179070,11063.7,146.539
2451,8143000,11065.2,146.558
2452,8096880,11066.6,146.578
2453,8050760,11068.1,146.597
2454,8004640,11069.6,146.617
2455,7958520,11071,146.636
2456,7912400,11072.5,146.656
2457,7866280,11074,146.675
2458,7820160,11075.4,146.694
2459,7774040,11076.9,146.714
2460,7727920,11078.4,146.733
2461,7708870,11079.8,146.753
2462,7692260,11081.3,146.772
2463,7675660,11082.8,146.792
2464,7659050,11084.2,146.811
2465,7642450,11085.7,146.831
2466,7625840,11087.2,146.85
2467,7609230,11088.6,146.87
2468,7592630,11090.1,146.889
2469,7576020,11091.6,146.908
2470,7559420,11093.1,146.928
2471,7542810,11094.5,146.947
2472,7526200,11096,146.967
2473,7509600,11097.5,146.986
2474,7494870,11098.9,147.006
2475,7482060,11100.4,147.025
2476,7469260,11101.9,147.045
2477,7456450,11103.3,147.064
2478,7443640,11104.8,147.083
2479,7430840,11106.3,147.103
2480,7418030,11107.7,147.122
2481,7405220,11109.2,147.142
2482,7392420,11110.7,147.161
2483,7379610,11112.1,147.181
2484,7369320,11113.6,147.2
2485,7359390,11115.1,147.22
2486,7349460,11116.5,147.239
2487,7339520,11118,147.258
2488,7329590,11119.5,147.278
2489,7319650,11120.9,147.297
2490,7309720,11122.4,147.317
2491,7299780,11123.9,147.336
2492,7289850,11125.4,147.356
2493,7279920,11126.8,147.375
2494,7269980,11128.3,147.395
2495,7260050,11129.8,147.414
2496,7250110,11131.2,147.433
2497,7240530,11132.7,147.453
2498,7231460,11134.2,147.472
2499,7222380,11135.6,147.492
2500,7213310,11137.1,147.511
2501,7204240,11138.6,147.531
2502,7195170,11140,147.55
2503,7186100,11141.5,147.57
2504,7177030,11143,147.589
2505,7167950,11144.4,147.608
2506,7158880,11145.9,147.628
2507,7149810,11147.4,147.647
2508,7140740,11148.8,147.667
2509,7131670,11150.3,147.686
2510,7122590,11151.8,147.706
2511,7113520,11153.2,147.725
2512,7104450,11154.7,147.745
2513,7095380,11156.2,147.764
2514,7086310,11157.7,147.783
2515,7077240,11159.1,147.803
2516,7068160,11160.6,147.822
2517,7059090,11162.1,147.842
2518,7050020,11163.5,147.861
2519,7040950,11165,147.881
2520,7031880,11166.5,147.9
2521,7022800,11167.9,147.92
2522,7013730,11169.4,147.939
2523,7004660,11170.9,147.958
2524,6995590,11172.3,147.978
2525,6986520,11173.8,147.997
2526,6977350,11175.3,148.017
2527,6968100,11176.7,148.036
2528,6958850,11178.2,148.056
2529,6949600,11179.7,148.075
2530,6940350,11181.1,148.095
2531,6931110,11182.6,148.114
2532,6921860,11184.1,148.133
2533,6912610,11185.5,148.153
2534,6903360,11187,148.172
2535,6894110,11188.5,148.192
2536,6884860,11189.9,148.211
2537,6875610,11191.4,148.231
2538,6866370,11192.9,148.25
2539,6857120,11194.4,148.27
2540,6847870,11195.8,148.289
2541,6838620,11197.3,148.308
2542,6829370,11198.8,148.328
2543,6820120,11200.2,148.347
2544,6810870,11201.7,148.367
2545,6801630,11203.2,148.386
2546,6792380,11204.6,148.406
2547,6783130,11206.1,148.425
2548,6773880,11207.6,148.445
2549,6764170,11209,148.464
2550,6753910,11210.5,148.483
2551,6743660,11212,148.503
2552,6733410,11213.4,148.522
2553,6723150,11214.9,148.542
2554,6712900,11216.4,148.561
2555,6702650,11217.8,148.581
2556,6692390,11219.3,148.6
2557,6682140,11220.8,148.62
2558,6671890,11222.2,148.639
2559,6661630,11223.7,148.658
2560,6651380,11225.2,148.678
2561,6641130,11226.7,148.697
2562,6630880,11228.1,148.717
2563,6620620,11229.6,148.736
2564,6610370,11231.1,148.756
2565,6600120,11232.5,148.775
2566,6589710,11234,148.795
2567,6578290,11235.5,148.814
2568,6566880,11236.9,148.834
2569,6555460,11238.4,148.853
2570,6544050,11239.9,148.872
2571,6532640,11241.3,148.892
2572,6521220,11242.8,148.911
2573,6509810,11244.3,148.931
2574,6498390,11245.7,148.95
2575,6486980,11247.2,148.97
2576,6475560,11248.7,148.989
2577,6464150,11250.1,149.009
2578,6452740,11251.6,149.028
2579,6441320,11253.1,149.047
2580,6429910,11254.5,149.067
2581,6418490,11256,149.086
2582,6407080,11257.5,149.106
2583,6395660,11259,149.125
2584,6384250,11260.4,149.145
2585,6372830,11261.9,149.164
2586,6361420,11263.4,149.184
2587,6350010,11264.8,149.203
2588,6338590,11266.3,149.222
2589,6327420,11267.8,149.242
2590,6321420,11269.2,149.261
2591,6315430,11270.7,149.281
2592,6309440,11272.2,149.3
2593,6303450,11273.6,149.32
2594,6297460,11275.1,149.339
2595,6291470,11276.6,149.359
2596,6285470,11278,149.378
2597,6279480,11279.5,149.397
2598,6273490,11281,149.417
2599,6267500,11282.4,149.436
2600,6261510,11283.9,149.456
2601,6255520,11285.4,149.475
2602,6249520,11286.8,149.495
2603,6243530,11288.3,149.514
2604,6237540,11289.8,149.534
2605,6231550,11291.3,149.553
2606,6225560,11292.7,149.572
2607,6219560,11294.2,149.592
2608,6213570,11295.7,149.611
2609,6207580,11297.1,149.631
2610,6201590,11298.6,149.65
2611,6195600,11300.1,149.67
2612,6189610,11301.5,149.689
2613,6187350,11303,149.709
2614,6185270,11304.5,149.728
2615,6183190,11305.9,149.747
2616,6181110,11307.4,149.767
2617,6179030,11308.9,149.786
2618,6176950,11310.3,149.806
2619,6174870,11311.8,149.825
2620,6172790,11313.3,149.845
2621,6170710,11314.7,149.864
2622,6168630,11316.2,149.884
2623,6166550,11317.7,149.903
2624,6164470,11319.1,149.922
2625,6162390,11320.6,149.942
2626,6160310,11322.1,149.961
2627,6158230,11323.5,149.981
2628,6156150,11325,150
2629,6154070,11326.5,150.02
2630,6151990,11328,150.039
2631,6149910,11329.4,150.059
2632,6147830,11330.9,150.078
2633,6145750,11332.4,150.097
2634,6143670,11333.8,150.117
2635,6141590,11335.3,150.136
2636,6143610,11336.8,150.156
2637,6146270,11338.2,150.175
2638,6148930,11339.7,150.195
2639,6151600,11341.2,150.214
2640,6154260,11342.6,150.234
2641,6156920,11344.1,150.253
2642,6159580,11345.6,150.272
2643,6162250,11347,150.292
2644,6164910,11348.5,150.311
2645,6167570,11350,150.331
2646,6170230,11351.4,150.35
2647,6172900,11352.9,150.37
2648,6175560,11354.4,150.389
2649,6178220,11355.8,150.409
2650,6180880,11357.3,150.428
2651,6183550,11358.8,150.447
2652,6186210,11360.3,150.467
2653,6188870,11361.7,150.486
2654,6191530,11363.2,150.506
2655,6194200,11364.7,150.525
2656,6196860,11366.1,150.545
2657,6204420,11367.6,150.564
2658,6214330,11369.1,150.584
2659,6224230,11370.5,150.603
2660,6234140,11372,150.622
2661,6244050,11373.5,150.642
2662,6253950,11374.9,150.661
2663,6263860,11376.4,150.681
2664,6273770,11377.9,150.7
2665,6283670,11379.3,150.72
2666,6293580,11380.8,150.739
2667,6303490,11382.3,150.759
2668,6313400,11383.7,150.778
2669,6323300,11385.2,150.797
2670,6332190,11386.7,150.817
2671,6335390,11388.1,150.836
2672,6338590,11389.6,150.856
2673,6341780,11391.1,150.875
2674,6344980,11392.6,150.895
2675,6348180,11394,150.914
2676,6351380,11395.5,150.934
2677,6354570,11397,150.953
2678,6357770,11398.4,150.973
2679,6360970,11399.9,150.992
2680,6364160,11401.4,151.011
2681,6367360,11402.8,151.031
